SampleID,SiteID,Date,Alkalinity,Sample sum,Sum TDI4,TDI4,eTDI4,EQR TDI4,Class TDI4,% Planktic,% Motile,% Organic tolerant,% Saline,Comment TD14
1.89004e+006,206930,40822,13,353.00,353.00,18.24,24.49,0.87,High,0.00,1.42,0.57,1.42,
1.89111e+006,207309,40792,1,336.00,336.00,16.75,17.50,0.81,High,0.00,0.89,1.79,0.00,"Alkalinity < 5, value set to 5 mg/l"
1.89111e+006,207347,40793,14,362.00,362.00,27.98,25.13,0.77,Good,0.00,0.00,6.08,0.55,
1.89173e+006,8540,40844,112,337.00,330.00,70.59,52.23,0.49,Moderate,0.89,56.97,32.05,0.00,
1.89178e+006,345954,40863,22,340.00,340.00,27.15,29.47,0.83,High,0.00,0.59,0.59,0.00,
1.89181e+006,529,40815,96,372.00,343.00,68.75,49.48,0.49,Moderate,7.80,13.17,9.41,2.96,
1.89304e+006,8455,40815,35,330.00,330.00,28.40,34.69,0.88,High,0.00,1.21,1.21,0.00,
1.89306e+006,8801,40833,20,324.00,324.00,24.57,28.49,0.84,High,0.00,0.00,0.00,0.00,
1.89307e+006,8811,40863,33,322.00,322.00,39.09,33.98,0.74,Good,0.00,23.91,22.05,1.86,
1.89308e+006,16975,40800,18,346.00,344.00,30.46,27.46,0.77,Good,0.00,4.05,1.73,0.00,
1.8931e+006,3609,40854,64,339.00,339.00,48.63,42.90,0.72,Good,0.00,0.88,0.59,0.00,
1.89312e+006,1515,40814,79,322.00,322.00,50.36,46.20,0.74,Good,0.00,5.59,4.35,1.24,
1.89314e+006,4638,40863,20,342.00,342.00,39.20,28.49,0.68,Good,0.00,23.10,4.09,0.29,
1.89323e+006,7651,40814,31,337.00,337.00,63.12,33.24,0.44,Moderate,0.00,13.65,12.76,7.72,
1.89324e+006,7989,40800,111,377.00,377.00,53.51,52.07,0.78,Good,0.00,3.18,0.00,0.00,
1.89344e+006,122832,40875,6,324.00,324.00,12.31,18.66,0.86,High,0.00,33.33,0.31,0.00,
1.8975e+006,118688,40841,117,246.00,246.00,64.61,53.04,0.60,Good,0.00,33.74,30.08,0.00,
1.89751e+006,122748,40841,87,312.00,312.00,73.13,47.79,0.41,Moderate,0.00,94.87,92.31,0.00,
1.89752e+006,127100,40844,67,376.00,375.00,58.27,43.60,0.59,Moderate,0.27,50.00,43.62,1.86,
1.89754e+006,122534,40816,194,320.00,320.00,67.77,63.37,0.70,Good,0.00,23.13,16.56,0.00,
1.89754e+006,320337,40854,60,370.00,368.00,63.36,41.94,0.50,Moderate,0.54,37.84,28.38,0.81,
1.89757e+006,122475,40869,64,281.00,278.00,74.56,42.90,0.36,Poor,1.07,63.70,46.62,0.36,
1.90019e+006,205682,40821,58,326.00,326.00,62.30,41.44,0.52,Moderate,0.00,64.11,61.04,0.92,
1.90021e+006,232926,40829,39,367.00,367.00,61.92,36.04,0.48,Moderate,0.00,66.49,57.49,0.00,
1.90023e+006,207402,40836,47,368.00,364.00,49.77,38.48,0.65,Good,1.09,41.03,54.35,1.36,
1.90039e+006,376732,40849,34,341.00,341.00,47.35,34.34,0.64,Good,0.00,46.92,40.47,2.64,
1.90044e+006,207189,40809,36,348.00,348.00,50.32,35.04,0.61,Good,0.00,28.45,27.87,2.01,
1.90049e+006,207255,40844,45,307.00,307.00,51.39,37.90,0.63,Good,0.00,24.43,16.94,1.30,
1.9034e+006,4103,40806,218,330.00,330.00,67.35,66.02,0.77,Good,0.00,44.85,35.45,23.03,
1.91241e+006,4276,40841,71,330.00,330.00,68.17,44.50,0.46,Moderate,0.00,46.67,27.58,0.00,
1.91245e+006,3806,40813,99,331.00,331.00,57.21,50.02,0.68,Good,0.00,18.73,27.49,0.30,
1.91261e+006,3415,40830,111,389.00,381.00,63.56,52.07,0.61,Good,2.06,31.62,9.25,0.00,
1.91342e+006,123055,40816,125,463.00,463.00,45.10,54.29,0.96,High,0.00,4.97,6.48,0.00,
1.91676e+006,122766,40856,43,372.00,372.00,75.94,37.30,0.31,Poor,0.00,74.73,50.81,0.00,
1.91677e+006,124876,40856,60,307.00,307.00,66.89,41.94,0.46,Moderate,0.00,35.18,27.04,2.28,
1.91678e+006,122783,40856,30,320.00,320.00,28.48,32.86,0.85,High,0.00,5.00,1.88,0.00,
2.01069e+006,122766,41030,43,431.00,429.00,55.37,37.30,0.57,Moderate,0.46,43.85,38.75,7.19,
2.01069e+006,124876,41030,54,490.00,490.00,50.80,40.41,0.66,Good,0.00,49.18,38.98,0.61,
2.02153e+006,200211,41058,9,334.00,330.00,22.20,21.52,0.79,Good,0.00,11.08,20.66,0.30,
2.02154e+006,206778,41058,8,344.00,344.00,13.69,20.64,0.87,High,0.00,1.45,0.58,0.00,
2.0217e+006,449078,41023,10,319.00,319.00,25.11,22.33,0.77,Good,0.00,0.31,0.00,0.00,
2.02172e+006,327611,41011,5,336.00,334.00,21.08,17.50,0.77,Good,0.00,0.89,0.60,0.30,
2.02752e+006,206809,41032,10,315.00,315.00,22.06,22.33,0.80,High,0.00,0.00,0.00,0.00,
2.02752e+006,206971,41019,6,318.00,318.00,22.44,18.66,0.76,Good,0.00,4.72,3.77,0.00,
2.02754e+006,232722,41032,6,392.00,392.00,9.36,18.66,0.89,High,0.00,0.51,0.00,1.02,
2.02755e+006,206845,41030,5,422.00,422.00,24.12,17.50,0.74,Good,0.00,0.00,0.00,0.00,
2.02755e+006,207298,41030,4,331.00,330.00,8.19,17.50,0.89,High,0.30,2.11,0.91,0.00,"Alkalinity < 5, value set to 5 mg/l"
2.02771e+006,7641,41044,13,345.00,345.00,25.62,24.49,0.79,Good,0.00,0.87,0.00,0.00,
2.02771e+006,7651,41044,34,369.00,369.00,30.82,34.34,0.84,High,0.00,10.03,7.32,2.98,
2.02772e+006,7935,41031,131,365.00,363.00,48.23,55.19,0.92,High,0.55,30.68,32.33,0.00,
2.02772e+006,7957,41031,100,358.00,354.00,89.72,50.19,0.17,Bad,0.56,27.93,26.26,0.00,
2.02773e+006,7989,41045,120,470.00,470.00,68.36,53.52,0.54,Moderate,0.00,30.21,21.70,0.43,
2.02773e+006,8540,41050,116,338.00,338.00,42.51,52.88,0.98,High,0.00,21.01,15.09,0.30,
2.02803e+006,122680,41012,13,306.00,306.00,22.92,24.49,0.82,High,0.00,0.00,12.09,0.00,
2.02948e+006,122832,41047,4,349.00,349.00,17.38,17.50,0.80,High,0.00,0.00,0.00,0.00,"Alkalinity < 5, value set to 5 mg/l"
2.02976e+006,206930,41012,12,373.00,373.00,25.68,23.81,0.78,Good,0.00,0.00,0.00,0.00,
2.02994e+006,118688,41011,117,317.00,317.00,66.26,53.04,0.57,Moderate,0.00,68.14,65.30,0.00,
2.02996e+006,122701,41015,117,282.00,282.00,64.77,53.04,0.60,Good,0.00,55.67,48.58,0.00,
2.02996e+006,122721,41022,6,393.00,393.00,10.83,18.66,0.88,High,0.00,0.76,0.00,0.00,
2.02997e+006,122748,41011,82,295.00,295.00,66.13,46.81,0.51,Moderate,0.00,87.12,73.56,0.00,
2.02997e+006,127100,41018,64,186.00,186.00,34.77,42.90,0.91,High,0.00,25.81,23.12,1.08,
2.03114e+006,9470,41032,72,333.00,333.00,54.13,44.71,0.66,Good,0.00,3.00,4.50,0.60,
2.03115e+006,9540,41038,44,335.00,335.00,46.11,37.60,0.69,Good,0.00,3.88,2.99,0.00,
2.03115e+006,9650,41023,83,330.00,330.00,57.70,47.01,0.64,Good,0.00,7.58,6.06,0.91,
2.03116e+006,9821,41038,30,331.00,331.00,25.73,32.86,0.88,High,0.00,2.42,1.81,0.00,
2.03119e+006,9431,41046,88,336.00,336.00,57.90,47.99,0.65,Good,0.00,21.43,18.75,0.60,
2.03173e+006,4103,41030,227,352.00,329.00,41.28,66.97,1.00,High,6.53,16.19,14.49,0.57,
2.03174e+006,4276,41033,71,330.00,330.00,54.42,44.50,0.66,Good,0.00,45.45,41.52,0.91,
2.03176e+006,3806,41018,101,330.00,330.00,58.70,50.37,0.67,Good,0.00,23.33,56.36,0.30,
2.03177e+006,1412,41031,115,334.00,334.00,56.66,52.72,0.73,Good,0.00,26.95,27.25,0.60,
2.03178e+006,1470,41023,151,336.00,334.00,66.03,58.02,0.65,Good,0.60,47.02,33.63,0.60,
2.03179e+006,3415,41023,112,337.00,328.00,50.08,52.23,0.84,High,2.67,29.08,25.52,0.30,
2.03199e+006,122534,41017,182,153.00,153.00,58.14,61.96,0.88,High,0.00,22.22,21.57,0.00,
2.03372e+006,207255,41038,42,364.00,364.00,56.94,36.99,0.55,Moderate,0.00,60.99,54.12,0.27,
2.03433e+006,123172,41023,2,395.00,388.00,16.97,17.50,0.81,High,1.52,3.04,0.76,0.76,"Alkalinity < 5, value set to 5 mg/l"
2.03433e+006,123153,41023,4,339.00,339.00,16.43,17.50,0.81,High,0.00,0.59,0.29,0.29,"Alkalinity < 5, value set to 5 mg/l"
2.03436e+006,123183,41051,123,301.00,296.00,40.42,53.98,1.00,High,0.00,20.93,14.29,0.00,
2.03437e+006,134707,41051,123,396.00,392.00,59.13,53.98,0.71,Good,0.00,33.59,23.48,0.51,
2.03437e+006,300379,41051,174,354.00,352.00,40.26,60.99,1.00,High,0.00,14.69,10.73,0.56,
2.03438e+006,123198,41032,38,377.00,362.00,32.91,35.71,0.83,High,3.98,25.20,19.10,9.81,
2.0344e+006,123202,41023,4,360.00,360.00,22.52,17.50,0.75,Good,0.00,8.33,7.50,3.06,"Alkalinity < 5, value set to 5 mg/l"
2.03507e+006,11110,41046,22,339.00,337.00,24.87,29.47,0.85,High,0.59,1.18,0.00,3.83,
2.03507e+006,345954,41039,20,378.00,376.00,47.97,28.49,0.58,Moderate,0.53,2.91,1.06,2.91,
2.03509e+006,8455,41031,40,388.00,388.00,33.02,36.36,0.84,High,0.00,11.08,6.44,0.77,
2.0351e+006,8681,41047,2,323.00,323.00,15.68,17.50,0.82,High,0.00,0.00,0.00,0.00,"Alkalinity < 5, value set to 5 mg/l"
2.03511e+006,8801,41033,21,389.00,389.00,24.02,28.99,0.86,High,0.00,0.77,0.00,4.37,
2.03511e+006,8811,41031,32,337.00,337.00,32.94,33.62,0.81,High,0.00,28.49,14.54,4.75,
2.03512e+006,1508,41052,145,381.00,381.00,63.55,57.20,0.68,Good,0.00,18.11,13.39,0.00,
2.03512e+006,1515,41052,84,351.00,351.00,67.96,47.21,0.49,Moderate,0.00,17.95,16.24,0.57,
2.03514e+006,3609,41033,59,434.00,434.00,41.05,41.69,0.81,High,0.00,18.20,20.97,0.23,
2.04171e+006,122783,41030,26,343.00,343.00,24.24,31.25,0.88,High,0.00,1.46,0.87,0.29,
2.04187e+006,122469,41057,64,687.00,687.00,66.30,42.90,0.47,Moderate,0.00,61.57,45.71,0.44,
2.04188e+006,122475,41058,70,788.00,785.00,57.00,44.27,0.62,Good,0.38,50.51,43.15,1.90,
2.04189e+006,122496,41057,59,324.00,324.00,55.82,41.69,0.61,Good,0.00,35.19,27.47,0.00,
2.04711e+006,123096,41032,72,330.00,329.00,59.75,44.71,0.58,Moderate,0.30,62.73,58.79,0.30,
2.04773e+006,16975,41031,17,327.00,327.00,22.80,26.91,0.85,High,0.00,0.00,0.00,6.73,
2.04777e+006,123055,41058,125,344.00,344.00,34.62,54.29,1.00,High,0.00,11.05,20.35,0.00,
2.04777e+006,4471,41050,168,330.00,330.00,68.84,60.24,0.63,Good,0.00,32.42,32.42,13.64,
2.04786e+006,529,41057,102,335.00,331.00,70.88,50.54,0.47,Moderate,1.19,53.13,56.42,2.99,
2.048e+006,134604,41183,99,361.00,350.00,45.77,50.02,0.87,High,3.05,44.04,33.24,0.83,
2.04801e+006,123096,41191,78,307.00,297.00,62.69,45.99,0.55,Moderate,3.26,41.69,35.18,0.33,
2.04829e+006,205682,41036,62,314.00,314.00,48.51,42.42,0.72,Good,0.00,43.31,35.03,0.32,
2.0483e+006,207100,41036,25,389.00,389.00,36.72,30.82,0.73,Good,0.00,7.71,6.94,0.26,
2.04831e+006,232926,41045,38,366.00,365.00,62.42,35.71,0.47,Moderate,0.27,75.41,70.49,0.00,
2.04833e+006,207275,41036,56,321.00,321.00,53.28,40.93,0.63,Good,0.00,36.76,28.97,7.48,
2.04837e+006,207309,41038,2,374.00,374.00,25.80,17.50,0.72,Good,0.00,3.74,8.29,0.00,"Alkalinity < 5, value set to 5 mg/l"
2.04837e+006,207347,41053,14,362.00,362.00,32.32,25.13,0.72,Good,0.00,2.21,1.10,0.83,
2.04854e+006,207189,41032,38,375.00,372.00,43.11,35.71,0.71,Good,0.80,25.07,21.33,1.07,
2.04861e+006,122924,41036,47,391.00,391.00,40.18,38.48,0.78,Good,0.00,12.28,10.49,0.00,
2.04882e+006,122762,41054,1,295.00,286.00,1.61,17.50,0.95,High,3.05,1.02,0.00,0.00,"Alkalinity < 5, value set to 5 mg/l"
2.05788e+006,134604,41057,91,303.00,303.00,63.99,48.55,0.56,Moderate,0.00,84.49,72.28,0.33,
2.11389e+006,123153,41158,5,290.00,290.00,24.67,17.50,0.73,Good,0.00,0.34,1.72,0.00,
2.12085e+006,206971,41141,6,352.00,352.00,38.54,18.66,0.60,Good,0.00,43.75,45.74,0.00,
2.12393e+006,122762,41155,1,379.00,349.00,16.81,17.50,0.81,High,7.92,2.37,3.17,0.00,"Alkalinity < 5, value set to 5 mg/l"
2.1246e+006,123055,41213,125,516.00,314.00,44.07,54.29,0.98,High,39.15,13.95,7.17,6.98,
2.12536e+006,4471,41157,159,330.00,330.00,68.75,59.09,0.61,Good,0.00,5.15,15.15,2.12,
2.12635e+006,16975,41165,19,321.00,299.00,23.78,27.98,0.85,High,0.00,0.00,0.31,0.00,
2.12808e+006,529,41192,101,336.00,332.00,75.63,50.37,0.39,Poor,1.19,38.10,30.95,2.98,
2.12868e+006,122818,41242,4,204.00,204.00,16.59,17.50,0.81,High,0.00,0.00,1.96,0.00,"Alkalinity < 5, value set to 5 mg/l"
2.13354e+006,9470,41187,72,324.00,324.00,52.15,44.71,0.69,Good,0.00,23.15,18.83,0.00,
2.13355e+006,9540,41156,45,330.00,330.00,41.98,37.90,0.75,Good,0.00,1.21,0.91,0.00,
2.13355e+006,9650,41186,82,329.00,327.00,61.73,46.81,0.58,Moderate,0.61,53.80,51.67,0.61,
2.13356e+006,9821,41156,30,332.00,332.00,28.03,32.86,0.86,High,0.00,0.30,0.30,0.00,
2.13358e+006,9431,41191,88,330.00,330.00,55.52,47.99,0.68,Good,0.00,8.48,19.39,0.61,
2.13403e+006,122766,41206,43,437.00,437.00,69.72,37.30,0.39,Poor,0.00,82.15,81.69,0.00,
2.13403e+006,124876,41242,59,305.00,304.00,52.90,41.69,0.65,Good,0.33,32.46,30.49,0.00,
2.13404e+006,123172,41191,1,339.00,339.00,25.22,17.50,0.73,Good,0.00,2.36,0.59,0.00,"Alkalinity < 5, value set to 5 mg/l"
2.13405e+006,123153,41191,5,340.00,340.00,20.99,17.50,0.77,Good,0.00,1.47,1.76,0.00,
2.13409e+006,123202,41205,5,438.00,438.00,27.97,17.50,0.70,Good,0.00,3.20,1.83,1.60,
2.1353e+006,123198,41205,38,475.00,330.00,36.81,35.71,0.79,Good,30.53,8.63,7.37,0.00,
2.13535e+006,4103,41186,236,335.00,332.00,69.30,67.89,0.76,Good,0.90,15.52,4.78,0.60,
2.13536e+006,4276,41186,71,329.00,329.00,62.99,44.50,0.53,Moderate,0.00,31.61,31.91,0.30,
2.13538e+006,3806,41207,111,332.00,331.00,65.37,52.07,0.58,Moderate,0.30,17.47,29.52,0.30,
2.13576e+006,122832,41192,5,322.00,322.00,22.03,17.50,0.76,Good,0.00,0.62,0.93,0.00,
2.1362e+006,206809,41234,10,417.00,417.00,24.21,22.33,0.78,Good,0.00,1.20,0.00,0.00,
2.13621e+006,206971,41176,6,187.00,178.00,30.32,18.66,0.69,Good,4.81,17.65,17.11,1.60,
2.13622e+006,232722,41234,8,319.00,318.00,22.08,20.64,0.79,Good,0.00,9.72,1.88,0.00,
2.13625e+006,206930,41185,12,314.00,314.00,27.06,23.81,0.77,Good,0.00,1.27,1.27,0.00,
2.13625e+006,449078,41199,10,329.00,328.00,22.84,22.33,0.79,Good,0.00,0.00,0.00,0.00,
2.13628e+006,200211,41207,9,405.00,404.00,20.82,21.52,0.81,High,0.25,12.59,6.17,0.25,
2.13739e+006,207309,41192,2,347.00,347.00,7.81,17.50,0.89,High,0.00,0.00,0.00,0.00,"Alkalinity < 5, value set to 5 mg/l"
2.13739e+006,207347,41214,14,333.00,333.00,32.39,25.13,0.72,Good,0.00,0.00,0.60,1.50,
2.13761e+006,1515,41191,76,330.00,330.00,61.71,45.57,0.56,Moderate,0.00,16.67,13.94,0.00,
2.13763e+006,3609,41191,65,344.00,343.00,59.85,43.13,0.56,Moderate,0.00,69.19,50.00,0.00,
2.13763e+006,4638,41253,27,394.00,378.00,55.45,31.67,0.52,Moderate,3.55,69.29,46.45,1.78,
2.13763e+006,1508,41246,118,332.00,332.00,71.33,53.20,0.49,Moderate,0.00,69.58,58.73,0.30,
2.13801e+006,207275,41183,58,386.00,386.00,57.71,41.44,0.58,Moderate,0.00,62.18,57.25,1.30,
2.13814e+006,207189,41173,39,351.00,346.00,49.15,36.04,0.64,Good,1.42,41.31,35.04,0.28,
2.13814e+006,207255,41173,42,324.00,324.00,43.19,36.99,0.72,Good,0.00,11.73,11.42,0.00,
2.13818e+006,205682,41176,64,345.00,345.00,49.32,42.90,0.71,Good,0.00,46.96,48.99,0.00,
2.13818e+006,207100,41187,26,323.00,323.00,46.11,31.25,0.63,Good,0.00,15.48,15.48,0.00,
2.13819e+006,232926,41187,39,329.00,329.00,61.53,36.04,0.48,Moderate,0.00,74.77,76.60,0.00,
2.14006e+006,7641,41172,12,330.00,330.00,25.78,23.81,0.78,Good,0.00,0.00,1.82,0.00,
2.14006e+006,7651,41172,37,387.00,387.00,43.72,35.38,0.70,Good,0.00,17.57,17.31,0.52,
2.14007e+006,7935,41192,134,359.00,356.00,69.40,55.64,0.55,Moderate,0.00,35.10,16.71,1.11,
2.14007e+006,7957,41192,100,345.00,332.00,73.82,50.19,0.42,Moderate,2.32,62.32,24.64,1.74,
2.14008e+006,7989,41186,126,342.00,341.00,70.78,54.44,0.51,Moderate,0.29,33.04,23.68,0.00,
2.14008e+006,8540,41172,116,343.00,340.00,74.07,52.88,0.44,Moderate,0.00,55.98,33.53,0.00,
2.14165e+006,1412,41206,105,333.00,333.00,74.26,51.06,0.42,Moderate,0.00,23.42,10.51,0.30,
2.14166e+006,1470,41206,145,338.00,331.00,69.39,57.20,0.57,Moderate,2.07,25.74,8.58,0.00,
2.14166e+006,3415,41206,116,356.00,325.00,60.34,52.88,0.67,Good,8.71,20.22,8.71,0.00,
2.14526e+006,206845,41191,7,322.00,322.00,17.02,19.70,0.83,High,0.00,0.00,0.00,0.00,
2.14526e+006,207298,41242,4,323.00,323.00,5.43,17.50,0.92,High,0.00,0.31,0.31,0.00,"Alkalinity < 5, value set to 5 mg/l"
2.14593e+006,11110,41246,22,312.00,312.00,25.19,29.47,0.85,High,0.00,0.00,0.32,0.00,
2.14594e+006,345954,41207,26,355.00,353.00,35.86,31.25,0.75,Good,0.56,14.65,13.52,0.28,
2.14595e+006,8455,41177,41,315.00,315.00,33.31,36.68,0.84,High,0.00,7.30,8.57,0.00,
2.14596e+006,8681,41261,2,330.00,330.00,14.15,17.50,0.83,High,0.00,1.21,0.00,0.00,"Alkalinity < 5, value set to 5 mg/l"
2.14597e+006,8801,41177,20,358.00,358.00,26.68,28.49,0.82,High,0.00,0.00,0.00,0.00,
2.14597e+006,8811,41177,35,333.00,333.00,44.38,34.69,0.68,Good,0.00,39.64,40.54,0.00,
2.15543e+006,118688,41206,117,358.00,358.00,70.24,53.04,0.51,Moderate,0.00,52.79,48.88,1.12,
2.15545e+006,122701,41205,127,348.00,336.00,66.58,54.60,0.59,Moderate,0.00,40.80,21.26,0.00,
2.15546e+006,122748,41206,90,322.00,322.00,71.65,48.37,0.44,Moderate,0.00,90.99,89.44,0.31,
2.15546e+006,122757,41206,110,333.00,333.00,49.71,51.90,0.84,High,0.00,45.65,42.34,0.60,
2.15546e+006,127100,41249,59,165.00,165.00,71.12,41.69,0.40,Poor,0.00,76.36,73.33,0.61,
2.15559e+006,122680,41199,11,309.00,309.00,25.00,23.09,0.78,Good,0.00,0.00,0.00,0.00,
2.15573e+006,122469,41191,64,347.00,342.00,72.11,42.90,0.39,Poor,0.00,60.23,27.67,0.29,
2.15573e+006,122475,41191,74,401.00,393.00,72.67,45.15,0.40,Poor,0.00,48.63,23.44,0.00,
2.15574e+006,122496,41219,73,330.00,330.00,57.31,44.93,0.62,Good,0.00,68.48,41.52,0.91,
2.15727e+006,122534,41193,188,326.00,326.00,61.10,62.67,0.83,High,0.00,19.02,11.66,0.31,
2.18962e+006,122783,41158,27,412.00,406.00,43.71,31.67,0.66,Good,1.46,28.40,28.16,0.97,
2.19937e+006,122783,41242,32,200.00,200.00,39.34,33.62,0.73,Good,0.00,16.50,13.50,0.00,
